	GO:0000785	GO:0005654	GO:0005667	GO:0005694	GO:0005737	GO:0005829	GO:0005856	GO:0005925	GO:0015629	GO:0016234	GO:0016235	GO:0016528	GO:0016529	GO:0030016	GO:0030017	GO:0030018	GO:0030054	GO:0030055	GO:0031143	GO:0031674	GO:0031974	GO:0031981	GO:0033017	GO:0042383	GO:0042995	GO:0043034	GO:0043228	GO:0043232	GO:0043233	GO:0043292	GO:0048471	GO:0070013	GO:0070161	GO:0099080	GO:0099081	GO:0099512
GO:0042383	3.0012745281474542E-05	3.13733073131097E-05	-0	3.243611082644025E-05	4.4214231684704754E-05	3.8101861796006194E-05	3.3132070848632605E-05	2.5364033361543762E-05	2.9174050342874582E-05	2.1869272184504085E-05	2.143662419015697E-05	2.3951395073778767E-05	2.3731551802368728E-05	2.604837979579887E-05	2.5826808995506286E-05	2.4946460133186325E-05	3.159768605883851E-05	2.5480470170952725E-05	2.0603223416363598E-05	2.5027831004335595E-05	3.410543106504586E-05	3.32271530951106E-05	0.0462677979243979	1	3.2387502772241564E-05	2.1021028797485908E-05	3.7534549811465646E-05	3.743122012572332E-05	3.4105425003513366E-05	2.6152803521966462E-05	2.6401906385228936E-05	3.4105398736772156E-05	2.8911624714894146E-05	3.145227717575289E-05	3.0479140987715664E-05	3.0475687409209153E-05
GO:0042995	4.158623936375344E-05	4.424491486671021E-05	-0	4.6388483746620334E-05	7.493785873849E-05	5.8918233724603345E-05	4.7825209903342216E-05	3.316403756450971E-05	3.9993161660341866E-05	2.7432210705022577E-05	2.6754869318275315E-05	3.078963789745295E-05	3.0427291372412023E-05	3.43437948196748E-05	3.3959669621249974E-05	3.2453744436131956E-05	4.469248802038893E-05	3.336338102679534E-05	2.54690557304249E-05	3.2591594586588746E-05	4.988008553293357E-05	4.802357675835518E-05	2.8850833893170346E-05	3.2387502772241564E-05	1	2.6110581759589177E-05	5.757265071805234E-05	5.732990178119085E-05	4.988007256742086E-05	3.452555097118582E-05	3.4961012508337715E-05	4.988001638334237E-05	3.950164533944455E-05	4.440213792144092E-05	4.2487089882031595E-05	4.248037932655298E-05
GO:0043034	0.29265035586731286	0.10038240996983872	-0	0.3116950956460994	0.049624398159246706	0.0879369685444164	0.31706286531409494	2.1345424293988923E-05	0.2859280392901407	0.02804770211430409	0.027568993315246842	0.060208122496387746	0.07959366277103841	0.7913424959199953	0.7924049092780044	0.7696145077002008	2.5594804789604102E-05	2.1427828141485312E-05	1.7870342541817942E-05	0.7717315658139262	2.7215783117035628E-05	0.1051405077975636	0.07681045927058727	2.1021028797485908E-05	2.6110581759589177E-05	1	0.11207745645374563	0.3443846276090847	0.10390659860331804	0.550940514418365	0.06535875977507724	0.1073581440701075	2.3803456642801038E-05	2.5499313474607763E-05	0.5721773355101887	0.6250148875673057
GO:0043228	0.19270129144134315	0.20786087770443726	-0	0.2203926168409256	0.00010976462372567324	7.850101984467649E-05	0.2289516641692158	3.8581500886166225E-05	0.183814526907434	3.103709506038846E-05	3.017284136255141E-05	3.5405157195981E-05	0.13334664946731759	0.1534311072381095	0.15142684292975978	0.1436422171291735	5.5123332206363086E-05	3.8851555795242794E-05	2.854749278903041E-05	0.1443500217967477	6.323472962416404E-05	0.23014366951665569	0.12547650397948867	3.7534549811465646E-05	5.757265071805234E-05	0.11207745645374563	1	0.2890381105072122	0.24142257480898732	0.15438212427392595	4.103522997518566E-05	0.24142223006843097	4.7435146606517625E-05	5.4682304537749953E-05	5.1806559578049104E-05	5.179658260132775E-05
GO:0043232	0.5912043015984793	0.21390916015002948	-0	0.6758016565517713	0.16231597548778426	0.11634986605996779	0.7019314768253506	3.8472334841326683E-05	0.5640360592293947	0.04616167986210933	0.04487911566811968	0.05264145523276359	0.13742320833908145	0.4710790873546813	0.46494329867245093	0.4411072203626137	5.490075856992163E-05	3.874085835791692E-05	2.848768124873744E-05	0.4432747723450066	6.29420070828406E-05	0.23673911666315786	0.1293320209944406	3.743122012572332E-05	5.732990178119085E-05	0.3443846276090847	0.2890381105072122	1	0.24030499580025033	0.4739903343040727	0.060987229789753857	0.2482871915088801	4.7270236248907176E-05	5.44632710874549E-05	5.160991687959826E-05	5.160001549132587E-05
GO:0043233	0.16975030069280037	0.8419006046070192	-0	0.1908767034179018	8.482389144441003E-05	6.486171226576286E-05	0.1972635175957796	3.496762020124388E-05	0.16281624226864905	2.8654741694299975E-05	2.7916495251813082E-05	3.233817890877811E-05	0.12193816336482449	0.13851930970959092	0.1368836215454581	0.13049091825575457	4.803104785862941E-05	3.5189307771457765E-05	2.6519519467939182E-05	0.13107478523000668	5.407503328190517E-05	0.9196053963619928	0.11532367342839446	3.4105425003513366E-05	4.988007256742086E-05	0.10390659860331804	0.24142257480898732	0.24030499580025033	1	0.13929398651239017	3.6971266341493506E-05	0.9581441258591336	4.208728922716438E-05	4.769586150917635E-05	4.549320857667171E-05	4.548551492033321E-05
GO:0043292	0.37962971597711753	0.13165613338792112	-0	0.412309531161678	0.07199683332177695	0.12167069440158029	0.4217545243125992	2.665681753074845E-05	0.36839437270316083	0.03402324936538329	0.03332138681164906	0.07431530094126294	0.09806369330084952	0.6896089405470878	0.6834383214630478	0.6589753563400651	3.36294560068354E-05	2.6785456304542093E-05	2.144816103026101E-05	0.6612328465906475	3.6484642558770296E-05	0.13996346324162554	0.09387291525280565	2.6152803521966462E-05	3.452555097118582E-05	0.550940514418365	0.15438212427392595	0.4739903343040727	0.13929398651239017	1	0.082322872663263	0.14392099195862418	3.060339550926931E-05	3.346479469478416E-05	0.7450418567088073	0.8138198135391701
GO:0048471	0.04801534393608682	0.050359140537136686	-0	0.05220088478072093	0.07327355156500585	0.12350172525389587	0.053412135328300595	2.6915661793487946E-05	0.04657828572120971	0.03430572226126796	0.03359227930312232	0.07499441672368212	0.07426681880427939	0.08197348657128758	0.08123272751042565	0.07829734521867035	3.4042471271788125E-05	2.7046817070648863E-05	2.1615415926369893E-05	0.07856814094530905	3.697127346451353E-05	0.053577938527402204	0.07106552272112641	2.6401906385228936E-05	3.4961012508337715E-05	0.06535875977507724	4.103522997518566E-05	0.060987229789753857	3.6971266341493506E-05	0.082322872663263	1	0.055113084588908914	3.094504908666538E-05	3.3873750741554825E-05	3.274768762822089E-05	3.274370085527316E-05
GO:0070013	0.17538895878922245	0.8419002415404179	-0	0.1972171003507367	0.1264468792996338	0.09668932490005494	0.2038160591573417	3.4967592589654395E-05	0.16822457609858635	0.042715645303338545	0.041615141462106826	0.04820654395915759	0.12598866376091342	0.14312058294348132	0.14143056258083617	0.13482551433149315	4.803099576276483E-05	3.518927980865494E-05	2.651950358647137E-05	0.13542877550190358	5.407496725017779E-05	0.9196049087158618	0.11915446061140919	3.4105398736772156E-05	4.988001638334237E-05	0.1073581440701075	0.24142223006843097	0.2482871915088801	0.9581441258591336	0.14392099195862418	0.055113084588908914	1	4.208724922706281E-05	4.7695810137879954E-05	4.549316184059116E-05	4.548546820005901E-05
GO:0070161	3.6025037481318594E-05	3.8003271889065714E-05	-0	3.957397674046552E-05	5.862885997557635E-05	4.834483975060031E-05	4.061485893532561E-05	0.6706302359726232	3.482339005555518E-05	2.4896955824545262E-05	2.4337751310610846E-05	2.763154878402168E-05	2.733936914819864E-05	3.0460503837533783E-05	3.0157951866544623E-05	2.896439944046993E-05	3.8333003029627215E-05	0.6742170646502557	2.3269132123443015E-05	2.907415041472876E-05	4.208729845792383E-05	4.07578318406842E-05	2.6059922428071466E-05	2.8911624714894146E-05	3.950164533944455E-05	2.3803456642801038E-05	4.7435146606517625E-05	4.7270236248907176E-05	4.208728922716438E-05	3.060339550926931E-05	3.094504908666538E-05	4.208724922706281E-05	1	3.811920669180021E-05	3.6699109130552836E-05	3.669410227700134E-05
GO:0099080	4.0056866265386156E-05	4.251780094309913E-05	-0	4.4493549863546686E-05	7.011401798361864E-05	5.589475046882153E-05	4.5813624995343284E-05	3.2184106156271906E-05	3.8576722601791233E-05	2.6758294250533163E-05	2.611343287720105E-05	2.994321038682281E-05	2.9600401408098243E-05	3.3294007831620555E-05	3.293288338127311E-05	3.15147447794341E-05	4.293095063407844E-05	3.2371809918268186E-05	2.4887120930360622E-05	3.164471738907609E-05	4.7695873364050076E-05	4.599562394913515E-05	2.810635944981742E-05	3.145227717575289E-05	4.440213792144092E-05	2.5499313474607763E-05	5.4682304537749953E-05	5.44632710874549E-05	4.769586150917635E-05	3.346479469478416E-05	3.3873750741554825E-05	4.7695810137879954E-05	3.811920669180021E-05	1	4.089201058856521E-05	4.088579440251201E-05
GO:0099081	3.849169172374188E-05	4.075862559252531E-05	-0	4.257077930695833E-05	6.545527938951038E-05	5.289356610023555E-05	4.3777679264146115E-05	3.116589043684615E-05	3.712298177884213E-05	2.605068043670581E-05	2.5439084598252328E-05	2.905990405482623E-05	2.873691298495705E-05	0.7413638587693083	0.7335827628673098	0.7029728578216564	4.113814180605394E-05	3.134187275162104E-05	2.4273877891777295E-05	0.705781814383388	4.549321936188326E-05	4.394383233960129E-05	2.7326690148909256E-05	3.0479140987715664E-05	4.2487089882031595E-05	0.5721773355101887	5.1806559578049104E-05	5.160991687959826E-05	4.549320857667171E-05	0.7450418567088073	3.274768762822089E-05	4.549316184059116E-05	3.6699109130552836E-05	4.089201058856521E-05	1	0.9036749993604224
GO:0099512	3.848618383766922E-05	4.0752449890226295E-05	-0	4.256404229115417E-05	6.543935375361314E-05	5.288316609887254E-05	4.3770554870841754E-05	3.116227948366511E-05	3.7117858607688864E-05	2.604815748359069E-05	2.5436678712591817E-05	2.905676459788678E-05	2.873384292451414E-05	0.8098027651001468	0.8013043652899081	0.7678724647775957	4.113185056943254E-05	3.13382209062482E-05	2.4271687346512784E-05	0.7709403990884737	4.548552570189716E-05	4.393665376849684E-05	2.7323913998182284E-05	3.0475687409209153E-05	4.248037932655298E-05	0.6250148875673057	5.179658260132775E-05	5.160001549132587E-05	4.548551492033321E-05	0.8138198135391701	3.274370085527316E-05	4.548546820005901E-05	3.669410227700134E-05	4.088579440251201E-05	0.9036749993604224	1
